                                                        en-de        en-de      he-en        he-en      zh-en        zh-en
metric                                         Avg  sys (SPA)  seg (acc-t)  sys (SPA)  seg (acc-t)  sys (SPA)  seg (acc-t)
----------------------------------------  --------  ---------  -----------  ---------  -----------  ---------  -----------
gemba-v2-gpt-4.1-mini-rrwa[noref]          1 0.760      0.977        0.597      0.948        0.566      0.920        0.549
gemba-v2-qwen3.5-35b-a3b-fp8-rrwa[noref]   2 0.760      0.972        0.580      0.946        0.564      0.947        0.550
GEMBA-MQM[noref]                           3 0.754      0.982        0.572      0.947        0.563      0.937        0.522
MetricX-23-QE-b[noref]                     4 0.753      0.961        0.606      0.939        0.576      0.896        0.539
XCOMET-Ensemble                            5 0.751      0.939        0.604      0.936        0.584      0.901        0.543
MetricX-23-QE-c[noref]                     6 0.750      0.946        0.581      0.930        0.572      0.927        0.545
XCOMET-XXL                                 7 0.749      0.938        0.603      0.940        0.575      0.900        0.541
MetricX-23-b                               8 0.749      0.948        0.604      0.921        0.578      0.906        0.535
CometKiwi-XXL[noref]                       9 0.742      0.970        0.578      0.911        0.550      0.917        0.528
XCOMET-XL                                 10 0.741      0.935        0.601      0.924        0.565      0.890        0.531
cometoid22-wmt23[noref]                   11 0.741      0.945        0.586      0.933        0.540      0.920        0.520
MetricX-23                                12 0.740      0.928        0.603      0.918        0.574      0.887        0.531
XCOMET-QE-Ensemble[noref]                 13 0.737      0.934        0.588      0.922        0.552      0.892        0.533
CometKiwi-XL[noref]                       14 0.735      0.968        0.571      0.905        0.533      0.914        0.522
MetricX-23-QE[noref]                      15 0.734      0.929        0.596      0.914        0.561      0.876        0.527
_COMET                                    16 0.729      0.960        0.574      0.931        0.530      0.868        0.514
MetricX-23-c                              17 0.727      0.959        0.539      0.918        0.528      0.911        0.507
_CometKiwi[noref]                         18 0.727      0.938        0.569      0.889        0.543      0.896        0.525
mbr-metricx-qe[noref]                     19 0.725      0.933        0.584      0.870        0.554      0.872        0.537
KG-BERTScore[noref]                       20 0.722      0.936        0.556      0.892        0.536      0.894        0.516
_BLEURT-20                                21 0.721      0.956        0.572      0.902        0.517      0.863        0.518
_docWMT22CometDA                          22 0.718      0.964        0.559      0.936        0.491      0.863        0.493
_docWMT22CometKiwiDA[noref]               23 0.717      0.955        0.547      0.909        0.484      0.917        0.493
cometoid22-wmt21[noref]                   24 0.713      0.929        0.581      0.850        0.511      0.893        0.514
cometoid22-wmt22[noref]                   25 0.713      0.925        0.578      0.852        0.513      0.893        0.515
instructscore                             26 0.709      0.949        0.563      0.904        0.532      0.844        0.459
sescoreX                                  27 0.707      0.949        0.563      0.897        0.483      0.847        0.499
_YiSi-1                                   28 0.706      0.915        0.542      0.911        0.530      0.835        0.504
MaTESe                                    29 0.705      0.870        0.528      0.912        0.546      0.898        0.479
Calibri-COMET22                           30 0.701      0.906        0.522      0.945        0.513      0.844        0.474
_prismRef                                 31 0.699      0.926        0.518      0.916        0.528      0.804        0.504
